iter =  99000/1000000       Loss: 0.210866       Val Score: 0.660954
iter = 102000/1000000       Loss: 0.190184       Val Score: 0.661979
iter = 105000/1000000       Loss: 0.565982       Val Score: 0.634614
iter = 108000/1000000       Loss: 0.379332       Val Score: 0.659506
iter = 111000/1000000       Loss: 0.331012       Val Score: 0.664215
iter = 114000/1000000       Loss: 0.277083       Val Score: 0.666304
iter = 117000/1000000       Loss: 0.382775       Val Score: 0.667629
iter = 120000/1000000       Loss: 0.311725       Val Score: 0.668491
iter = 123000/1000000       Loss: 0.337078       Val Score: 0.667435
iter = 126000/1000000       Loss: 0.507227       Val Score: 0.661341
iter = 129000/1000000       Loss: 0.436460       Val Score: 0.670039
iter = 132000/1000000       Loss: 0.580578       Val Score: 0.669933
iter = 135000/1000000       Loss: 0.465608       Val Score: 0.656930
iter = 138000/1000000       Loss: 0.207712       Val Score: 0.671299
iter = 141000/1000000       Loss: 0.690831       Val Score: 0.670582
iter = 144000/1000000       Loss: 0.177140       Val Score: 0.667129
iter = 147000/1000000       Loss: 0.542449       Val Score: 0.634863
iter = 150000/1000000       Loss: 0.511007       Val Score: 0.672693
iter = 153000/1000000       Loss: 0.500527       Val Score: 0.654163
iter = 156000/1000000       Loss: 0.177425       Val Score: 0.661847
iter = 159000/1000000       Loss: 0.997834       Val Score: 0.660904
iter = 162000/1000000       Loss: 0.273036       Val Score: 0.659682
iter = 165000/1000000       Loss: 0.996678       Val Score: 0.677261
iter = 168000/1000000       Loss: 0.276916       Val Score: 0.672679
iter = 171000/1000000       Loss: 0.122649       Val Score: 0.664688
iter = 174000/1000000       Loss: 0.421742       Val Score: 0.676992
iter = 177000/1000000       Loss: 0.739334       Val Score: 0.670827
iter = 180000/1000000       Loss: 0.201249       Val Score: 0.669579
iter = 183000/1000000       Loss: 0.252382       Val Score: 0.659272
iter = 186000/1000000       Loss: 0.541522       Val Score: 0.666470
iter = 189000/1000000       Loss: 0.297800       Val Score: 0.673348
iter = 192000/1000000       Loss: 0.379933       Val Score: 0.666591
iter = 195000/1000000       Loss: 0.288482       Val Score: 0.670447
iter = 198000/1000000       Loss: 0.333052       Val Score: 0.676578
